epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.469,0.53952,0.45746,0.83636,0.90731,0.89686,0.93072,0.77739,0.47354,0.39788,0.81879,0.000300896,0.000300896,0.000300896
2,934.084,0.56206,0.46464,0.83867,0.9234,0.87351,0.93495,0.77966,0.45359,0.3936,0.81674,0.000484324,0.000484324,0.000484324
3,1408.62,0.55915,0.45989,0.83766,0.9283,0.88957,0.93625,0.78209,0.45748,0.40248,0.81895,0.000547765,0.000547765,0.000547765
4,1890.78,0.53592,0.44759,0.83681,0.86814,0.90951,0.94323,0.79382,0.4435,0.38685,0.81302,0.000369054,0.000369054,0.000369054
5,2237.13,0.50756,0.42442,0.83075,0.88913,0.91156,0.94406,0.80596,0.40496,0.35963,0.81011,0.000189072,0.000189072,0.000189072
